timestamp,open,high,low,close,volume
2/12/2019,170.1,171,169.7,170.89,22283523
2/13/2019,171.39,172.48,169.92,170.18,22490233
2/14/2019,169.71,171.26,169.38,170.8,21835747
2/15/2019,171.25,171.7,169.75,170.42,24626814
2/19/2019,169.71,171.44,169.49,170.93,18972826
2/20/2019,171.19,173.32,170.99,172.03,26114362
2/21/2019,171.8,172.37,170.3,171.06,17249670
2/22/2019,171.58,173,171.38,172.97,18913154
2/25/2019,174.16,175.87,173.95,174.23,21873358
2/26/2019,173.71,175.3,173.17,174.33,17070211
2/27/2019,173.21,175,172.73,174.87,27835389
2/28/2019,174.32,174.91,172.92,173.15,28215416
3/1/2019,174.28,175.15,172.89,174.97,25886167
3/4/2019,175.69,177.75,173.97,175.85,27436203
3/5/2019,175.94,176,174.54,175.53,19737419
3/6/2019,174.67,175.49,173.94,174.52,20810384
3/7/2019,173.87,174.44,172.02,172.5,24796374
3/8/2019,170.32,173.07,169.5,172.91,23999358
3/11/2019,175.49,179.12,175.35,178.9,32011034
3/12/2019,180,182.67,179.37,180.91,32467584
3/13/2019,182.25,183.3,180.92,181.71,31032524
3/14/2019,183.9,184.1,182.56,183.73,23579508
3/15/2019,184.85,187.33,183.74,186.12,39042912
3/18/2019,185.8,188.39,185.79,188.02,26219832
3/19/2019,188.35,188.99,185.92,186.53,31646369
3/20/2019,186.23,189.49,184.73,188.16,31035231
3/21/2019,190.02,196.33,189.81,195.09,51034237
3/22/2019,195.34,197.69,190.78,191.05,42407666
3/25/2019,191.51,191.98,186.6,188.74,43845293
3/26/2019,191.66,192.88,184.58,186.79,49800538
3/27/2019,188.75,189.76,186.55,188.47,29848427
3/28/2019,188.95,189.56,187.53,188.72,20780363
3/29/2019,189.83,190.08,188.54,189.95,23563961
4/1/2019,191.64,191.68,188.38,191.24,27861964
4/2/2019,191.09,194.46,191.05,194.02,22765732
4/3/2019,193.25,196.5,193.15,195.35,23271830
4/4/2019,194.79,196.37,193.14,195.69,19114275
4/5/2019,196.45,197.1,195.93,197,18526644
4/8/2019,196.42,200.23,196.34,200.1,25881697
4/9/2019,200.32,202.85,199.23,199.5,35768237
4/10/2019,198.68,200.74,198.18,200.62,21695288
4/11/2019,200.85,201,198.44,198.95,20900808
4/12/2019,199.2,200.14,196.21,198.87,27760668
4/15/2019,198.58,199.85,198.01,199.23,17536646
4/16/2019,199.46,201.37,198.56,199.25,25696385
4/17/2019,199.54,203.38,198.61,203.13,28906780
4/18/2019,203.12,204.15,202.52,203.86,24195766
4/22/2019,202.83,204.94,202.34,204.53,19439545
4/23/2019,204.43,207.75,203.9,207.48,23322991
4/24/2019,207.36,208.48,207.05,207.16,17540609
4/25/2019,206.83,207.76,205.12,205.28,18543206
4/26/2019,204.9,205,202.12,204.3,18649102
4/29/2019,204.4,205.97,203.86,204.61,22204716
4/30/2019,203.06,203.4,199.11,200.67,46534923
5/1/2019,209.88,215.31,209.23,210.52,64827328
5/2/2019,209.84,212.65,208.13,209.15,31996324
5/3/2019,210.89,211.84,210.23,211.75,20892378
5/6/2019,204.29,208.84,203.5,208.48,32443113
5/7/2019,205.88,207.42,200.83,202.86,38763698
5/8/2019,201.9,205.34,201.75,202.9,26339504
5/9/2019,200.4,201.68,196.66,200.72,34908607
5/10/2019,197.42,198.85,192.77,197.18,41208712
5/13/2019,187.71,189.48,182.85,185.72,57430623
5/14/2019,186.41,189.7,185.41,188.66,36529677
5/15/2019,186.27,191.75,186.02,190.92,26544718
5/16/2019,189.91,192.47,188.84,190.08,33031364
5/17/2019,186.93,190.9,186.76,189,32879090
5/20/2019,183.52,184.35,180.28,183.09,38612290
5/21/2019,185.22,188,184.7,186.6,28364848
5/22/2019,184.66,185.71,182.55,182.78,29748556
5/23/2019,179.8,180.54,177.81,179.66,36529736
5/24/2019,180.2,182.14,178.62,178.97,23714686
5/28/2019,178.92,180.59,177.91,178.23,27948160
5/29/2019,176.42,179.35,176,177.38,28481165
5/30/2019,177.95,179.23,176.67,178.3,21218412
5/31/2019,176.23,177.99,174.99,175.07,27043584
6/3/2019,175.6,177.92,170.27,173.3,40396069
6/4/2019,175.44,179.83,174.52,179.64,30967961
6/5/2019,184.28,184.99,181.14,182.54,29773427
6/6/2019,183.08,185.47,182.15,185.22,22526311
